revenue,expenses,marketing_spend,employee_count,operational_cost,profit
342857.86,131697.97,28509.17,8,82974.0,134806.25
132270.39,52242.49,7975.86,7,29863.67,48303.86
429996.7,228051.37,75705.64,6,157430.79,63490.5
1598449.71,708336.89,157605.34,14,277402.0,616137.29
114550.37,48538.6,11197.58,11,25143.01,46345.3
114553.19,71322.97,6744.98,11,22765.69,20431.65
1738997.27,1087718.22,165415.45,13,576234.67,93324.65
514603.56,366530.78,91689.42,7,192945.25,-34853.46
80481.97,40953.59,7382.76,7,28565.83,13151.48
367265.41,123600.44,70431.45,11,124617.26,143884.74
81216.48,35478.05,15501.99,10,32164.73,15757.72
80935.3,63939.11,4421.72,9,25020.61,-6522.52
233968.88,139943.64,14071.57,11,76113.85,21953.36
10000.0,6548.69,1766.55,8,3948.41,-648.19
12241.94,3717.62,1184.64,8,1249.87,7644.96
70022.28,39149.66,2152.74,8,20321.48,10133.63
35623.23,11355.42,2727.25,11,11459.69,12591.81
260763.98,152446.56,34315.74,9,97877.27,14174.44
41687.8,31698.8,6914.97,6,15222.44,-4137.62
19565.92,15343.78,1030.66,7,6898.71,-2470.09
1466623.17,836380.49,71559.52,11,562798.14,115783.06
115998.85,61375.27,21663.45,12,30300.5,32206.17
180104.46,139132.24,28401.61,10,18384.35,27780.59
19204.07,12229.25,2501.57,8,1984.09,5515.24
71928.36,23912.56,11563.33,7,18945.33,29789.34
192217.7,102425.66,19780.21,12,44321.88,49722.93
28955.33,12164.79,4602.09,7,6815.32,11204.42
285942.79,152951.42,26651.73,10,62942.13,74499.01
66107.8,34887.25,4726.45,12,24811.43,10004.46
105078.12,62108.78,16174.92,11,21830.1,24146.35
66001.98,31574.38,6688.92,6,23554.0,13970.63
2619298.98,1000926.41,515567.38,9,971391.75,651371.32
159492.82,88017.66,14260.65,10,39849.36,35509.05
33304.03,23815.76,6217.65,6,7795.85,4235.86
558951.15,353260.55,105420.22,12,183507.12,21320.71
26075.06,12234.0,1854.33,8,8145.63,5903.48
222636.44,170931.69,36890.32,11,44206.81,18512.52
10000.0,7561.04,1036.23,6,1307.64,1343.64
22197.19,8982.63,4128.22,12,3983.41,10442.83
218664.06,69908.82,23292.34,16,30461.77,125404.74
492721.74,330445.98,77126.54,10,92838.47,74088.38
210460.32,150227.66,23021.09,11,37576.95,37984.99
136834.52,107269.0,9404.11,10,39861.73,-11070.99
103605.37,77177.53,6619.3,9,40027.81,-11442.25
17715.89,10634.27,1812.75,6,5416.16,1869.22
55283.72,31236.75,8758.83,7,20896.96,2159.35
81555.73,25602.02,10835.67,7,27340.72,29254.67
794670.89,336406.62,116869.85,12,252994.04,214371.3
272509.14,144377.35,21254.48,9,61101.61,75094.77
11561.54,7101.7,1293.09,2,2282.69,2133.24
264640.07,153127.6,9936.49,11,93651.68,17352.27
91342.97,61320.18,15435.18,9,33944.69,-1919.32
58960.15,25935.59,11690.72,12,13888.93,22316.75
407385.19,237292.22,40400.16,11,41846.17,130909.95
764134.64,262916.66,24348.25,8,258093.59,264579.47
657973.66,333482.61,38731.45,7,122067.7,215119.04
46220.27,31202.4,6513.8,7,4759.13,10198.12
102352.85,66191.63,13720.76,8,34953.15,6248.54
267505.43,212752.79,43854.04,12,68273.87,-9319.63
703144.5,308642.16,51442.25,11,214855.1,185564.59
79319.45,43553.89,12676.63,12,29697.75,5632.04
123193.5,57256.05,18104.18,7,32320.08,35771.17
30961.43,16109.28,2627.96,10,7770.03,7623.95
27056.7,19710.13,3320.75,10,5064.98,3309.78
550613.69,353551.55,30303.88,7,105474.54,87049.09
1244643.92,922555.71,133097.2,14,421887.77,-35781.75
146090.97,58692.86,26267.68,10,34288.83,59155.3
733292.06,540202.0,74504.33,12,109302.95,79544.71
279974.56,92358.33,48358.98,9,35937.15,159788.71
61840.91,46028.17,8060.53,12,14957.83,4668.73
279873.62,130011.62,17525.42,8,67025.95,92495.9
1634838.94,747601.74,210547.74,14,483973.61,452829.99
154239.36,85763.91,17894.41,12,37221.08,33899.46
1701405.93,1310669.71,166344.8,10,243373.72,118360.88
10000.0,3238.91,503.37,11,2523.41,4612.21
558412.8,265868.98,56310.61,11,207750.12,85711.12
185455.57,135064.69,7857.68,11,27416.35,28075.39
